code,name,etf_list,etf_count,in_00981A,00981A_source_date,00981A_shares,00981A_weight,00981A_rank,00981A_top10,00981A_new,00981A_prev_shares,00981A_delta_shares,00981A_delta_pct,00981A_flow_value,00981A_buy_flow_rank,00981A_sell_flow_rank
2303,聯電,00981A,1,True,20260618,77390000,,1,True,False,77390000,0,0.0,,,
2327,國巨*,00981A,1,True,20260618,23892000,,2,True,False,23292000,600000,0.02575991756826378,,,
3711,日月光投控,00981A,1,True,20260618,17948000,,3,True,False,17948000,0,0.0,,,
3037,欣興,00981A,1,True,20260618,12466000,,4,True,False,12466000,0,0.0,,,
2330,台積電,00981A,1,True,20260618,11960000,,5,True,False,11960000,0,0.0,,,
8150,南茂,00981A,1,True,20260618,11635000,,6,True,False,11635000,0,0.0,,,
8046,南電,00981A,1,True,20260618,10828000,,7,True,False,10828000,0,0.0,,,
2368,金像電,00981A,1,True,20260618,8315000,,8,True,False,8315000,0,0.0,,,
2317,鴻海,00981A,1,True,20260618,7307000,,9,True,False,7307000,0,0.0,,,
2308,台達電,00981A,1,True,20260618,6572000,,10,True,False,6572000,0,0.0,,,
2449,京元電子,00981A,1,True,20260618,6484000,,11,False,False,3645000,2839000,0.7788751714677641,,,
2345,智邦,00981A,1,True,20260618,6334000,,12,False,False,6334000,0,0.0,,,
6147,頎邦,00981A,1,True,20260618,6275000,,13,False,False,6275000,0,0.0,,,
3017,奇鋐,00981A,1,True,20260618,5191000,,14,False,False,5191000,0,0.0,,,
2002,中鋼,00981A,1,True,20260618,5163000,,15,False,False,5163000,0,0.0,,,
6274,台燿,00981A,1,True,20260618,5058000,,16,False,False,4927000,131000,0.026588187538055613,,,
2454,聯發科,00981A,1,True,20260618,4861000,,17,False,False,4861000,0,0.0,,,
3665,貿聯-KY,00981A,1,True,20260618,4833848,,18,False,False,4833848,0,0.0,,,
2383,台光電,00981A,1,True,20260618,4486000,,19,False,False,4486000,0,0.0,,,
6278,台表科,00981A,1,True,20260618,4334000,,20,False,False,4334000,0,0.0,,,
6191,精成科,00981A,1,True,20260618,3988000,,21,False,False,3988000,0,0.0,,,
5439,高技,00981A,1,True,20260618,3528000,,22,False,False,3528000,0,0.0,,,
6669,緯穎,00981A,1,True,20260618,2492000,,23,False,False,2492000,0,0.0,,,
6223,旺矽,00981A,1,True,20260618,2279000,,24,False,False,2279000,0,0.0,,,
3653,健策,00981A,1,True,20260618,2267000,,25,False,False,2267000,0,0.0,,,
8210,勤誠,00981A,1,True,20260618,2267000,,26,False,False,2267000,0,0.0,,,
6271,同欣電,00981A,1,True,20260618,1966000,,27,False,False,1466000,500000,0.34106412005457026,,,
6805,富世達,00981A,1,True,20260618,1811000,,28,False,False,1811000,0,0.0,,,
3376,新日興,00981A,1,True,20260618,1741000,,29,False,False,1741000,0,0.0,,,
4966,譜瑞-KY,00981A,1,True,20260618,1642000,,30,False,False,1642000,0,0.0,,,
3264,欣銓,00981A,1,True,20260618,1508000,,31,False,False,1000,1507000,1507.0,,,
4958,臻鼎-KY,00981A,1,True,20260618,1428000,,32,False,False,1428000,0,0.0,,,
6187,萬潤,00981A,1,True,20260618,1334000,,33,False,False,1334000,0,0.0,,,
8996,高力,00981A,1,True,20260618,1034000,,34,False,False,1034000,0,0.0,,,
8358,金居,00981A,1,True,20260618,980000,,35,False,False,980000,0,0.0,,,
6510,精測,00981A,1,True,20260618,930000,,36,False,False,930000,0,0.0,,,
3533,嘉澤,00981A,1,True,20260618,852000,,37,False,False,852000,0,0.0,,,
1590,亞德客-KY,00981A,1,True,20260618,530000,,38,False,False,530000,0,0.0,,,
6515,穎崴,00981A,1,True,20260618,436000,,39,False,False,436000,0,0.0,,,
5274,信驊,00981A,1,True,20260618,422000,,40,False,False,422000,0,0.0,,,
6488,環球晶,00981A,1,True,20260618,350000,,41,False,False,350000,0,0.0,,,
2313,華通,00981A,1,True,20260618,329000,,42,False,False,329000,0,0.0,,,
3443,創意,00981A,1,True,20260618,258000,,43,False,False,258000,0,0.0,,,
1815,富喬,00981A,1,True,20260618,107000,,44,False,False,107000,0,0.0,,,
2439,美律,00981A,1,True,20260618,18000,,45,False,False,18000,0,0.0,,,
2481,強茂,00981A,1,True,20260618,5000,,46,False,False,5000,0,0.0,,,
2382,廣達,00981A,1,True,20260618,1000,,48,False,False,1000,0,0.0,,,
3008,大立光,00981A,1,True,20260618,1000,,47,False,False,1000,0,0.0,,,
3661,世芯-KY,00981A,1,True,20260618,1000,,50,False,False,1000,0,0.0,,,
5347,世界,00981A,1,True,20260618,1000,,49,False,False,1000,0,0.0,,,
