code,name,etf_list,etf_count,in_00981A,00981A_source_date,00981A_shares,00981A_weight,00981A_rank,00981A_top10,00981A_new,00981A_prev_shares,00981A_delta_shares,00981A_delta_pct,00981A_flow_value,00981A_buy_flow_rank,00981A_sell_flow_rank
2303,聯電,00981A,1,True,20260617,77390000,,1,True,False,77390000,0,0.0,,,
2327,國巨*,00981A,1,True,20260617,23292000,,2,True,False,22792000,500000,0.021937521937521937,,,
3711,日月光投控,00981A,1,True,20260617,17948000,,3,True,False,17948000,0,0.0,,,
3037,欣興,00981A,1,True,20260617,12466000,,4,True,False,12466000,0,0.0,,,
2330,台積電,00981A,1,True,20260617,11960000,,5,True,False,11960000,0,0.0,,,
8150,南茂,00981A,1,True,20260617,11635000,,6,True,False,11635000,0,0.0,,,
8046,南電,00981A,1,True,20260617,10828000,,7,True,False,10828000,0,0.0,,,
2368,金像電,00981A,1,True,20260617,8315000,,8,True,False,8315000,0,0.0,,,
2317,鴻海,00981A,1,True,20260617,7307000,,9,True,False,7307000,0,0.0,,,
2308,台達電,00981A,1,True,20260617,6572000,,10,True,False,6572000,0,0.0,,,
2345,智邦,00981A,1,True,20260617,6334000,,11,False,False,6334000,0,0.0,,,
6147,頎邦,00981A,1,True,20260617,6275000,,12,False,False,5875000,400000,0.06808510638297872,,,
3017,奇鋐,00981A,1,True,20260617,5191000,,13,False,False,5191000,0,0.0,,,
2002,中鋼,00981A,1,True,20260617,5163000,,14,False,False,5163000,0,0.0,,,
6274,台燿,00981A,1,True,20260617,4927000,,15,False,False,4763000,164000,0.03443208062145706,,,
2454,聯發科,00981A,1,True,20260617,4861000,,16,False,False,4861000,0,0.0,,,
3665,貿聯-KY,00981A,1,True,20260617,4833848,,17,False,False,4833848,0,0.0,,,
2383,台光電,00981A,1,True,20260617,4486000,,18,False,False,4486000,0,0.0,,,
6278,台表科,00981A,1,True,20260617,4334000,,19,False,False,4334000,0,0.0,,,
6191,精成科,00981A,1,True,20260617,3988000,,20,False,False,3988000,0,0.0,,,
2449,京元電子,00981A,1,True,20260617,3645000,,21,False,False,3645000,0,0.0,,,
5439,高技,00981A,1,True,20260617,3528000,,22,False,False,3528000,0,0.0,,,
6669,緯穎,00981A,1,True,20260617,2492000,,23,False,False,2492000,0,0.0,,,
6223,旺矽,00981A,1,True,20260617,2279000,,24,False,False,2279000,0,0.0,,,
3653,健策,00981A,1,True,20260617,2267000,,25,False,False,2267000,0,0.0,,,
8210,勤誠,00981A,1,True,20260617,2267000,,26,False,False,2267000,0,0.0,,,
6805,富世達,00981A,1,True,20260617,1811000,,27,False,False,1811000,0,0.0,,,
3376,新日興,00981A,1,True,20260617,1741000,,28,False,False,1741000,0,0.0,,,
4966,譜瑞-KY,00981A,1,True,20260617,1642000,,29,False,False,1642000,0,0.0,,,
6271,同欣電,00981A,1,True,20260617,1466000,,30,False,False,1466000,0,0.0,,,
4958,臻鼎-KY,00981A,1,True,20260617,1428000,,31,False,False,1428000,0,0.0,,,
6187,萬潤,00981A,1,True,20260617,1334000,,32,False,False,1334000,0,0.0,,,
8996,高力,00981A,1,True,20260617,1034000,,33,False,False,1034000,0,0.0,,,
8358,金居,00981A,1,True,20260617,980000,,34,False,False,980000,0,0.0,,,
6510,精測,00981A,1,True,20260617,930000,,35,False,False,930000,0,0.0,,,
3533,嘉澤,00981A,1,True,20260617,852000,,36,False,False,852000,0,0.0,,,
1590,亞德客-KY,00981A,1,True,20260617,530000,,37,False,False,530000,0,0.0,,,
6515,穎崴,00981A,1,True,20260617,436000,,38,False,False,442000,-6000,-0.013574660633484163,,,
5274,信驊,00981A,1,True,20260617,422000,,39,False,False,422000,0,0.0,,,
6488,環球晶,00981A,1,True,20260617,350000,,40,False,False,350000,0,0.0,,,
2313,華通,00981A,1,True,20260617,329000,,41,False,False,329000,0,0.0,,,
3443,創意,00981A,1,True,20260617,258000,,42,False,False,258000,0,0.0,,,
1815,富喬,00981A,1,True,20260617,107000,,43,False,False,107000,0,0.0,,,
2439,美律,00981A,1,True,20260617,18000,,44,False,False,18000,0,0.0,,,
2481,強茂,00981A,1,True,20260617,5000,,45,False,False,5000,0,0.0,,,
2382,廣達,00981A,1,True,20260617,1000,,46,False,False,1000,0,0.0,,,
3008,大立光,00981A,1,True,20260617,1000,,47,False,False,1000,0,0.0,,,
3264,欣銓,00981A,1,True,20260617,1000,,49,False,False,1000,0,0.0,,,
3661,世芯-KY,00981A,1,True,20260617,1000,,50,False,False,1000,0,0.0,,,
5347,世界,00981A,1,True,20260617,1000,,48,False,False,1000,0,0.0,,,
